"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"서울특별시 도봉구 창제1동(1132051100)","23,739","23,739","1,026","1,859","2,880","3,108","3,413","4,225","3,761","2,146","1,159","157","5"
"서울특별시 도봉구 창제2동(1132051200)","27,686","27,686","1,225","1,913","3,470","3,785","3,859","4,851","4,571","2,584","1,280","145","3"
"서울특별시 도봉구 창제3동(1132051300)","12,912","12,912","448","870","1,428","1,421","1,797","2,423","2,340","1,390","725","67","3"
"서울특별시 도봉구 창제4동(1132051400)","26,295","26,295","1,331","2,226","3,435","3,501","3,782","4,709","4,124","1,970","1,025","189","3"
"서울특별시 도봉구 창제5동(1132051500)","23,623","23,623","1,069","1,673","3,048","3,408","3,029","4,199","3,915","2,095","1,034","146","7"
"서울특별시 도봉구 도봉제1동(1132052100)","19,603","19,603","524","932","1,968","2,011","2,346","3,428","3,981","2,849","1,389","172","3"
"서울특별시 도봉구 도봉제2동(1132052200)","25,994","25,994","1,354","1,394","2,567","3,336","3,393","4,093","4,895","3,244","1,509","201","8"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,581","20,581","824","1,362","2,656","2,371","2,651","3,651","3,583","2,129","1,212","137","5"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,617","17,617","714","1,087","2,032","2,224","2,390","3,088","3,224","1,813","881","160","4"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,154","16,154","603","885","2,228","2,346","2,172","2,698","2,640","1,657","837","84","4"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,866","17,866","869","1,787","2,004","2,119","2,555","3,125","3,158","1,443","694","111","1"
"서울특별시 도봉구 방학제1동(1132069000)","27,240","27,240","1,053","1,975","3,294","3,038","3,556","4,984","4,962","2,874","1,346","152","6"
"서울특별시 도봉구 방학제2동(1132070000)","18,085","18,085","573","1,143","1,992","1,942","2,200","3,439","3,497","2,103","1,080","116","0"
