,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
165,남산공원(한남),배수지위,온몸 노젖기,1,남산한남-5(배수지위)-15,중부공원녹지사업소
166,남산공원(한남),배수지위,등허리 젖히기,1,남산한남-5(배수지위)-16,중부공원녹지사업소
167,남산공원(한남),배수지위,다리 근육풀기,1,남산한남-5(배수지위)-17,중부공원녹지사업소
168,남산공원(한남),한강진 정자옆,온몸 역기 내리기,1,남산한남-6(한강진정자옆)-1,중부공원녹지사업소
169,남산공원(한남),한강진 정자옆,온몸 허리 돌리기,1,남산한남-6(한강진정자옆)-2,중부공원녹지사업소
170,남산공원(한남),한강진 정자옆,어깨근육 풀기,1,남산한남-6(한강진정자옆)-3,중부공원녹지사업소
171,남산공원(한남),한강진 정자옆,파도타기,1,남산한남-6(한강진정자옆)-4,중부공원녹지사업소
172,남산공원(한남),한강진 정자옆,윗몸 일으키기,1,남산한남-6(한강진정자옆)-5,중부공원녹지사업소
173,남산공원(장충),장충공원 놀이터옆,양팔줄당기기,1,장충자락-1(장충놀이터옆)-1,중부공원녹지사업소
174,남산공원(장충),장충공원 놀이터옆,온몸노젓기,1,장충자락-1(장충놀이터옆)-2,중부공원녹지사업소
175,남산공원(장충),장충공원 놀이터옆,등허리 지압기,1,장충자락-1(장충놀이터옆)-3,중부공원녹지사업소
176,남산공원(장충),장충공원 놀이터옆,온몸역기올리기,1,장충자락-1(장충놀이터옆)-4,중부공원녹지사업소
177,남산공원(장충),장충공원 놀이터옆,허리돌리기,1,장충자락-1(장충놀이터옆)-5,중부공원녹지사업소
178,남산공원(장충),장충체육회 옆,온몸근육풀기,1,장충자락-2(장충체육회)-1,중부공원녹지사업소
179,남산공원(장충),장충체육회 옆,바디싣업,1,장충자락-2(장충체육회)-2,중부공원녹지사업소
180,남산공원(장충),장충체육회 옆,크로스컨트리,1,장충자락-2(장충체육회)-3,중부공원녹지사업소
181,남산공원(장충),장충체육회 옆,체어웨이트,1,장충자락-2(장충체육회)-4,중부공원녹지사업소
182,남산공원(장충),330계단 옆,오금펴기,1,장충자락-3(303계단 옆)-1,중부공원녹지사업소
183,남산공원(장충),330계단 옆,철봉,1,장충자락-3(303계단 옆)-2,중부공원녹지사업소
184,남산공원(장충),330계단 옆,파도타기,1,장충자락-3(303계단 옆)-3,중부공원녹지사업소
185,남산공원(장충),330계단 옆,역기올리기,1,장충자락-3(303계단 옆)-4,중부공원녹지사업소
186,남산공원(장충),330계단 옆,상체근육풀기,1,장충자락-3(303계단 옆)-5,중부공원녹지사업소
187,남산공원(장충),330계단 옆,허리돌리기,1,장충자락-3(303계단 옆)-6,중부공원녹지사업소
188,남산공원(장충),330계단 옆,공중걷기,1,장충자락-3(303계단 옆)-7,중부공원녹지사업소
